path,area,tipo,descripcion,estado,feature_relacionada,evidencia_clave,riesgo,recomendacion
backend/app/__init__.py,backend-api,other,"Marcador de paquete app","activo",core,"backend/app/__init__.py","",""
backend/app/main.py,backend-api,other,"Factory create_app, lifespan, montaje de routers /api/v1, CORS, SPA","activo pero complejo",core,"main.py:325 create_app, :271-297 routers, :134-246 lifespan","CORS default '*'; webhook auth off; multiples Settings()","Restringir CORS y activar webhook auth en prod"
backend/app/agents/__init__.py,multi-tenant,other,"Marcador de paquete agents","activo",agentes,"backend/app/agents/__init__.py","",""
backend/app/agents/router.py,multi-tenant,router,"CRUD de agentes anidado + make-default + deactivate + sync-elevenlabs","activo",agentes,"agents/router.py:283 sync, :466 swap default","POST sync-elevenlabs sin consumidor frontend",""
backend/app/agents/schemas.py,multi-tenant,schema,"Schemas Pydantic de agente; strip_deprecated_tools","activo",agentes,"agents/schemas.py:46 tools removidas","",""
backend/app/ai/__init__.py,backend-api,other,"Marcador de paquete ai","activo",voz-custom-llm,"backend/app/ai/__init__.py","",""
backend/app/ai/llm_streaming.py,backend-api,service,"OpenAIStreamingClient: stream SSE GPT-4o con ContentDelta/ToolCallDelta","activo",voz-custom-llm,"ai/llm_streaming.py OpenAIStreamingClient","stream_completion wrapper deprecado","Verificar consumidores antes de remover stream_completion"
backend/app/analysis/__init__.py,backend-api,other,"Marcador de paquete analysis","activo",analisis-post-call,"backend/app/analysis/__init__.py","",""
backend/app/analysis/enums.py,backend-api,schema,"Enum Urgency (high/medium/low); resto como str","activo",analisis-post-call,"analysis/enums.py:8 Urgency","",""
backend/app/analysis/schema.py,backend-api,schema,"Modelo raiz PostCallAnalysis con defaults tolerantes a fallos","activo",analisis-post-call,"analysis/schema.py:43 PostCallAnalysis","",""
backend/app/analysis_schema.py,backend-api,schema,"Shim de retrocompat (from app.analysis import *), casi vacio","posible dead code",analisis-post-call,"analysis_schema.py:1-12","","Eliminar si no quedan importadores legacy"
backend/app/analysis/universal/__init__.py,backend-api,service,"DIMENSION_MODULES (6 activas) + pipelines extraidos","activo pero complejo",analisis-post-call,"universal/__init__.py:101-108","Docstrings hablan de 13 dimensiones (desfasado)",""
backend/app/analysis/universal/commitments.py,backend-api,service,"Dimension de senales de compromiso (gpt-4o-mini)","activo",analisis-post-call,"universal/commitments.py DIMENSION","",""
backend/app/analysis/universal/data_corrections.py,backend-api,service,"Pipeline de correcciones de datos con gate de confianza","activo",analisis-post-call,"universal/data_corrections.py CORRECTABLE_FIELDS","",""
backend/app/analysis/universal/interest/__init__.py,backend-api,other,"Marcador de paquete interest","activo",analisis-post-call,"universal/interest/__init__.py","",""
backend/app/analysis/universal/interest/catalog.py,backend-api,service,"PRODUCT_CATALOG y NEED_TAGS (orientado a seguros)","activo",analisis-post-call,"interest/catalog.py","Catalogo hardcodeado al vertical seguros","Confirmar si es configurable por tenant"
backend/app/analysis/universal/interest/interest_level.py,backend-api,service,"Computo interest_level 0-100 (formula 70/30)","activo",analisis-post-call,"interest/interest_level.py","",""
backend/app/analysis/universal/interest/interests.py,backend-api,service,"Deteccion de intereses (InterestsAxis)","activo",analisis-post-call,"interest/interests.py","",""
backend/app/analysis/universal/interest/pipeline.py,backend-api,service,"run_interest_pipeline (2 fases secuenciales)","activo",analisis-post-call,"interest/pipeline.py:69","",""
backend/app/analysis/universal/misc_notes.py,backend-api,service,"Pipeline de notas operativas tipadas","activo",analisis-post-call,"universal/misc_notes.py","",""
backend/app/analysis/universal/next_action.py,backend-api,service,"Motor de reglas next_action (json_object output)","activo",analisis-post-call,"universal/next_action.py","",""
backend/app/analysis/universal/objections.py,backend-api,service,"Dimension de objeciones (ObjectionsAxis)","activo",analisis-post-call,"universal/objections.py","",""
backend/app/analysis/universal/outcome.py,backend-api,service,"Dimension de outcome/classification (CallOutcome)","activo",analisis-post-call,"universal/outcome.py DIMENSION","",""
backend/app/analysis/universal/problem.py,backend-api,service,"Dimension de problema/pain primario (ProblemAxis)","activo",analisis-post-call,"universal/problem.py","",""
backend/app/analysis/universal/profile_facts.py,backend-api,service,"Pipeline de profile_facts (max 5 updates, categorias)","activo",analisis-post-call,"universal/profile_facts.py","",""
backend/app/analysis/universal/service_issues.py,backend-api,service,"Dimension de service issues","activo",analisis-post-call,"universal/service_issues.py","",""
backend/app/analysis/universal/summary.py,backend-api,service,"Dimension de resumen textual","activo",analisis-post-call,"universal/summary.py","",""
backend/app/analytics/__init__.py,backend-api,other,"Marcador de paquete analytics","activo",analytics,"backend/app/analytics/__init__.py","",""
backend/app/analytics/crm_parity.py,integraciones,service,"SyncState/resolve_sync_state: placeholder, devuelve UNKNOWN siempre","posible dead code",crm-parity,"crm_parity.py docstring; sin importadores en app","Sin motor de CRM real; sin consumidores","Remover o cablear motor de paridad real"
backend/app/analytics/router.py,backend-api,router,"4 GET analytics (overview/service-issues/interests/agent-stats)","activo",analytics,"analytics/router.py:87,132,179,224","filtro agent_id ignorado en interests",""
backend/app/analytics/schemas.py,backend-api,schema,"Schemas de respuesta de analytics","activo",analytics,"backend/app/analytics/schemas.py","",""
backend/app/analytics/service.py,backend-api,service,"Logica de analytics; varias funciones BI no expuestas por router","activo pero complejo",analytics,"analytics/service.py:429-602 funciones sin endpoint","BI breakdowns definidos pero no expuestos (feature parcial)",""
backend/app/api/__init__.py,backend-api,other,"Marcador de paquete api","activo",core,"backend/app/api/__init__.py","",""
backend/app/api/routes/__init__.py,backend-api,other,"Paquete api/routes esencialmente vacio (26 bytes)","posible dead code",core,"api/routes/__init__.py","Routers viven por dominio, no aqui",""
backend/app/calls/__init__.py,backend-api,other,"Marcador de paquete calls","activo",calls,"backend/app/calls/__init__.py","",""
backend/app/calls/models.py,modelo-de-datos,model,"Modelos CallSession, TranscriptTurn, CallAnalysis","activo",calls,"calls/models.py:30,91,111","extracted_facts y abandonment_reason DEPRECATED; buying_signals inerte",""
backend/app/calls/router.py,backend-api,router,"Lifecycle de llamada: metrics, list, postcall webhook, end, transcript, analysis","activo pero complejo",calls,"calls/router.py:57,121,156,228,360","postcall sin auth; orden de rutas critico",""
backend/app/calls/schemas.py,backend-api,schema,"Schemas de request/response de calls","activo",calls,"backend/app/calls/schemas.py","",""
backend/app/calls/service.py,backend-api,service,"close_session idempotente, reconciliacion, merge hermanas, despacho jobs","activo pero complejo",calls,"calls/service.py:604-718 close, :480-601 reconcile","Settings() a import-time gobierna enable_job_executor",""
backend/app/clients/__init__.py,multi-tenant,other,"Marcador de paquete clients (dominio)","activo",multi-tenant,"backend/app/clients/__init__.py","",""
backend/app/clients/router.py,multi-tenant,router,"CRUD de clientes; create bootstrapea agente default; soft-delete","activo",multi-tenant,"clients/router.py:94-166, :309","delete no cascada a agentes/leads",""
backend/app/clients/schemas.py,multi-tenant,schema,"Schemas ClientCreate/Update/Response","activo",multi-tenant,"backend/app/clients/schemas.py","",""
backend/app/core/__init__.py,config,other,"Marcador de paquete core","activo",core,"backend/app/core/__init__.py","",""
backend/app/core/auth.py,auth,service,"require_api_key, require_webhook_secret, AuthorizedSession, scopes","activo pero complejo",auth,"auth.py:90-157, :260-331","webhook auth no-op por defecto; get_authorized_session sin uso","Activar QORA_WEBHOOK_AUTH_ENABLED en prod"
backend/app/core/config.py,config,config,"Settings pydantic; hard-fail si faltan secretos; flags de runtime","activo",config,"config.py:73-152, :169-201","enable_job_executor y webhook auth default off",""
backend/app/core/credentials.py,auth,service,"Validacion de credenciales de integracion por cliente al arranque","activo",config,"credentials.py validate_all_integration_credentials","",""
backend/app/core/database.py,modelo-de-datos,service,"Engine async aiosqlite, WAL, get_session; init_db NO crea schema","activo",modelo-de-datos,"database.py:46-118, :84-87 PRAGMA","PRAGMA foreign_keys=ON ausente -> FKs no aplicadas en runtime","Evaluar activar foreign_keys"
backend/app/core/logging.py,observabilidad,service,"Configuracion structlog","activo",observabilidad,"backend/app/core/logging.py","",""
backend/app/demo/__init__.py,backend-api,other,"Marcador de paquete demo","activo",demo,"backend/app/demo/__init__.py","",""
backend/app/demo/router.py,backend-api,router,"Endpoints publicos del demo (auth-exempt por diseno) con scope-guard","activo",demo,"demo/router.py:18-19, :212-315","Auth-exempt intencional; scope-guard en end",""
backend/app/elevenlabs/__init__.py,integraciones,other,"Marcador de paquete elevenlabs","activo",elevenlabs,"backend/app/elevenlabs/__init__.py","",""
backend/app/elevenlabs/models.py,integraciones,schema,"Pydantic SoftTimeoutConfig, SyncResult (NO define tablas)","activo",elevenlabs,"elevenlabs/models.py:14,47","",""
backend/app/elevenlabs/service.py,integraciones,service,"ElevenLabsService.sync_soft_timeout (PATCH parcial); solo soft-timeout","parcial",elevenlabs,"elevenlabs/service.py:41-160","Solo sincroniza soft_timeout; get_elevenlabs_service sin uso","Resto de config del agente es manual en dashboard"
backend/app/integrations/__init__.py,integraciones,other,"Marcador de paquete integrations","activo",crm-airtable,"backend/app/integrations/__init__.py","",""
backend/app/integrations/adapters/__init__.py,integraciones,other,"Marcador de paquete adapters","activo",crm-airtable,"backend/app/integrations/adapters/__init__.py","",""
backend/app/integrations/adapters/airtable/__init__.py,integraciones,other,"Marcador de paquete airtable","activo",crm-airtable,"adapters/airtable/__init__.py","",""
backend/app/integrations/adapters/airtable/adapter.py,integraciones,service,"AirtableAdapter: batch_upsert, fetch_records via pyairtable (unico adapter)","activo",crm-airtable,"adapters/airtable/adapter.py","",""
backend/app/integrations/crm_config.py,integraciones,service,"CRMConfig/CRMConfigLoader: carga crm.yaml, resuelve credenciales","activo",crm-airtable,"crm_config.py resolve_api_key","flag enabled definido pero NO aplicado","Aplicar o remover CRMConfig.enabled"
backend/app/integrations/crm_config_router.py,integraciones,router,"CRUD de crm.yaml (connect/update/mappings/test/disconnect)","activo pero complejo",crm-airtable,"crm_config_router.py:438,541,622,656","Escribe/borra filesystem; client_id sin sanitizar (traversal posible)","Validar client_id contra path traversal"
backend/app/integrations/crm_import_service.py,integraciones,service,"import_leads_from_crm: pull batch Airtable->Qora, dedup, dual-write","activo",crm-airtable,"crm_import_service.py:130-355","Dual-write a columnas legacy + custom_fields",""
backend/app/integrations/crm_port.py,integraciones,service,"CRMPort ABC (upsert_record, health_check)","activo",crm-airtable,"crm_port.py","health_check definido pero sin uso",""
backend/app/integrations/crm_router.py,integraciones,router,"POST /crm/import (require_api_key)","activo",crm-airtable,"crm_router.py:29-33","docstring dice no-auth pero SI exige api_key (codigo manda)",""
backend/app/integrations/crm_sync_service.py,integraciones,service,"sync_lead: push fire-and-forget post-call a Airtable; guard tenant","activo",crm-airtable,"crm_sync_service.py:35-243","Traga toda excepcion (CS-5)",""
backend/app/integrations/field_mapping.py,integraciones,service,"FieldMapper puro: map/reverse_map, coercion tipos, E.164","activo",crm-airtable,"field_mapping.py FieldMapper","",""
backend/app/jobs/__init__.py,jobs,other,"Marcador de paquete jobs","activo",jobs,"backend/app/jobs/__init__.py","",""
backend/app/jobs/executor.py,jobs,service,"JobExecutor durable: enqueue/_run_job/recover/shutdown + backoff","activo pero complejo",jobs,"executor.py:99-455","recover() ignora status=failed (jobs huerfanos tras crash)","Recuperar tambien filas failed"
backend/app/jobs/handlers/__init__.py,jobs,service,"Registra handlers summarize/crm_sync/transcript_flush al importar","activo",jobs,"handlers/__init__.py:24-26","",""
backend/app/jobs/handlers/crm_sync.py,jobs,service,"crm_sync_handler: reclasifica errores config vs transitorios","activo",jobs,"handlers/crm_sync.py:36-144","",""
backend/app/jobs/handlers/summarize.py,jobs,service,"summarize_handler: usa generate_summary_and_facts_durable","activo",jobs,"handlers/summarize.py:31","",""
backend/app/jobs/handlers/transcript_flush.py,jobs,service,"transcript_flush_handler: estampa finalized_at + turn_count","activo",jobs,"handlers/transcript_flush.py:44","max_attempts=2; dead = perdida acotada aceptada",""
backend/app/jobs/models.py,modelo-de-datos,model,"Modelo BackgroundJob (tabla background_jobs)","activo",jobs,"jobs/models.py:24","Sin FK; aislada del resto del schema",""
backend/app/jobs/queries.py,jobs,service,"Helpers get_failed_jobs/get_pending_jobs (read-only)","posible dead code",jobs,"queries.py; solo tests lo usan","Sin consumidor de produccion (preparado para B9)",""
backend/app/jobs/registry.py,jobs,service,"Mapa job_type->handler; register/get_handler; ConfigurationError","activo",jobs,"registry.py:60-101","",""
backend/app/leads/__init__.py,backend-api,other,"Marcador de paquete leads","activo",leads,"backend/app/leads/__init__.py","",""
backend/app/leads/lead_custom_fields_service.py,backend-api,service,"CRUD de campos dinamicos tipados con coercion; lecturas scopeadas","activo",leads,"lead_custom_fields_service.py:54-310","delete NO scopea por client_id",""
backend/app/leads/models.py,modelo-de-datos,model,"Modelos Lead, LeadProfileFact, LeadCustomField, LeadInterestHistory + state machine","activo pero complejo",leads,"leads/models.py:77,137,181,229","Columnas legacy de auto coexisten con lead_custom_fields (drift)",""
backend/app/leads/router.py,backend-api,router,"Admin/debug de leads: list/get/create/status/history/rollups/context-preview","activo pero complejo",leads,"leads/router.py:272,650,730","PATCH status y GET history sin consumidor frontend",""
backend/app/leads/service.py,backend-api,service,"CRUD + state machine + queries de perfil; create escribe columnas legacy","activo",leads,"leads/service.py:91-120, :59-88","Dual-write a columnas legacy de Lead",""
backend/app/memory.py,backend-api,service,"build_memory_context: call_history, returning caller; varias funcs orfanadas","activo",memoria,"memory.py:93-168","_format_accumulated_profile/_format_confirmed_facts no invocados (dead)","Eliminar o reactivar formateadores orfanados"
backend/app/prompts/__init__.py,backend-api,other,"Marcador de paquete prompts","activo",prompts,"backend/app/prompts/__init__.py","",""
backend/app/prompts/insurance_agent.py,backend-api,prompt,"System prompt hardcodeado Jaumpablo (fallback insurance-specific)","posible dead code",prompts,"insurance_agent.py:16 TODO(dead-code)","Fallback acoplado al vertical seguros","Reemplazar por error generico de prompt no configurado"
backend/app/prompts/loader.py,backend-api,service,"PromptLoader: render_for_agent, load_agent_skills","activo",prompts,"prompts/loader.py PromptLoader","",""
backend/app/prompts/skill_loader.py,backend-api,service,"load_skill_registry, build_skills_index (registry-only, sin glob)","activo",skills-agente,"skill_loader.py:8-13,98-101","Campo faltante en registry ignora TODAS las skills del agente",""
backend/app/scheduler/__init__.py,jobs,other,"Marcador de paquete scheduler","activo",scheduler,"backend/app/scheduler/__init__.py","",""
backend/app/scheduler/models.py,modelo-de-datos,model,"Modelo ScheduledCall (cola; sin discado real)","parcial",scheduler,"scheduler/models.py:40,43","Estado expired definido pero nunca asignado",""
backend/app/scheduler/router.py,backend-api,router,"CRUD ScheduledCall con rutas duplicadas (queue + scheduled-calls)","activo",scheduler,"scheduler/router.py:65-362","Sin consumidor en frontend; aliases duplicados",""
backend/app/scheduler/schemas.py,backend-api,schema,"Schemas de ScheduledCall","activo",scheduler,"backend/app/scheduler/schemas.py","",""
backend/app/scheduler/service.py,jobs,service,"calculate_scheduled_at, auto_schedule, scheduler_tick (60s)","parcial",scheduler,"scheduler/service.py:314,505-556","in_progress nunca se consume (no hay dialer) -> dead-end","Sin discado: agenda y vence pero no llama"
backend/app/static/index.html,frontend-ui,other,"Pagina estatica simuladora de voz (demo) montada en /demo","activo",demo,"main.py:402-404 mount /demo","Consume endpoints /demo y WebSocket EL directo",""
backend/app/summarizer.py,backend-api,service,"Orquestador post-call (~2046 lineas): dimensiones, persistencia, auto-schedule, crm sync","activo pero complejo",analisis-post-call,"summarizer.py:186-235, :1180-1196","Costo alto (10+ llamadas OpenAI); docstrings desfasados (13 dim)","Consolidar dimensiones de baja senal"
backend/app/sweeper.py,jobs,service,"sweep_stale_sessions: initiated>10min -> abandoned; loop 60s","activo",sweeper,"sweeper.py:26-105","Usa siempre via legacy fire-and-forget (no durable aun con flag on)",""
backend/app/tenants/__init__.py,multi-tenant,other,"Marcador de paquete tenants","activo",multi-tenant,"backend/app/tenants/__init__.py","",""
backend/app/tenants/models.py,modelo-de-datos,model,"Modelos Client y Agent; config de agente duplicada/deprecada en Client","activo pero complejo",multi-tenant,"tenants/models.py:112,34,209-215","Config agente duplicada Client<->Agent (doble fuente); defaults listan tools removidas",""
backend/app/tenants/router.py,backend-api,router,"Alias compat read-only GET /tenants/{id} (sin auth)","dudoso",multi-tenant,"tenants/router.py:24-52","Sin consumidor conocido (solo docs/tests)","Evaluar deprecacion"
backend/app/tenants/service.py,multi-tenant,service,"create_client + CRUD agentes; seeds embebidos quintana/qora-demo","activo pero complejo",multi-tenant,"tenants/service.py:316-492, :165-273","Prompt Quintana embebido (~110 lineas) duplica filesystem",""
backend/app/tools/__init__.py,backend-api,other,"Marcador de paquete tools","activo",tools-agente,"backend/app/tools/__init__.py","",""
backend/app/tools/capture_data.py,backend-api,service,"Tool de captura dinamica de campos (unica de escritura)","activo",tools-agente,"capture_data.py; dispatcher.py:182-229","Se excluye silenciosamente si no hay crm.yaml ni tool_config",""
backend/app/tools/dispatcher.py,backend-api,service,"dispatch_tool con guard de scope/tenant; rechaza tools removidas","activo pero complejo",tools-agente,"dispatcher.py:51-59,80-82","Guard de scope se saltea si authorized_session is None (legacy)",""
backend/app/tools/get_lead_details.py,backend-api,service,"Tool read-only: detalles del lead","activo",tools-agente,"tools/get_lead_details.py","",""
backend/app/tools/get_lead_history.py,backend-api,service,"Tool read-only: historial de llamadas del lead","activo",tools-agente,"tools/get_lead_history.py","",""
backend/app/tools/get_lead_pain_points.py,backend-api,service,"Tool read-only: pain points detectados","activo",tools-agente,"tools/get_lead_pain_points.py","",""
backend/app/tools/get_lead_profile.py,backend-api,service,"Tool read-only: perfil acumulado del lead","activo",tools-agente,"tools/get_lead_profile.py","",""
backend/app/tools/mark_not_interested.py,backend-api,service,"Tool legacy retirada del registro; handler no importado en app/","posible dead code",tools-agente,"rg sin imports en app/; registry.py:70-72 removed","Handler muerto; solo tests lo referencian","Eliminar archivo y tests"
backend/app/tools/registry.py,backend-api,service,"TOOL_DEFINITIONS (6 activas), build_capture_data, fillers, _REMOVED_TOOLS","activo",tools-agente,"registry.py:58-67,70-72","",""
backend/app/tools/schedule_followup.py,backend-api,service,"Tool legacy retirada del registro; handler no importado en app/","posible dead code",tools-agente,"rg sin imports en app/; dispatcher.py:111","Doc Area10 lo cita pero no es alcanzable; solo tests","Eliminar archivo y tests"
backend/app/tools/skill_loader.py,backend-api,service,"handle_load_skill: valida allowlist del registry, lee .agent-skill.md","activo",skills-agente,"tools/skill_loader.py","Duplicacion nominal con prompts/skill_loader.py",""
backend/app/voice/__init__.py,backend-api,other,"Marcador de paquete voice","activo",voz-custom-llm,"backend/app/voice/__init__.py","",""
backend/app/voice/context.py,backend-api,service,"VoiceSessionContext (frozen) + build_voice_context; cache por sesion","activo pero complejo",voz-custom-llm,"voice/context.py build_voice_context","strip_deprecated_tools filtra tools removidas",""
backend/app/voice/initiation.py,backend-api,router,"Webhook initiation: dynamic_variables + memoria; bloquea do_not_call (403)","activo",voz-initiation,"initiation.py:65-273","Variables broker_name DEPRECATED aun emitidas; doble juego de variables",""
backend/app/voice/session.py,backend-api,service,"session_store en memoria: ConversationState + auth (zero DB por turno)","activo",voz-custom-llm,"voice/session.py ConversationState","Estado in-memory se pierde en reinicio",""
backend/app/voice/webhook.py,backend-api,router,"Custom-LLM core: 4 rutas SSE GPT-4o, tool-calls mid-stream, persistencia","activo pero complejo",voz-custom-llm,"webhook.py:531-672, :257-523","Rutas legacy activas; signed-url sin auth ni consumidor; fallback per-turn extenso","Simplificar fallback per-turn; deprecar rutas legacy"
backend/clients/_template/prompt.md,multi-tenant,prompt,"Plantilla de prompt para tenants nuevos","dudoso",multi-tenant,"clients/_template/prompt.md","Uso al crear clientes nuevos sin confirmar",""
backend/clients/qora-demo/README.md,multi-tenant,doc,"Readme del tenant demo","documentacion",multi-tenant,"clients/qora-demo/README.md","",""
backend/clients/qora-demo/agents/qora-explainer/skills/Qora-info.agent-skill.md,multi-tenant,prompt,"Skill markdown: info de Qora para agente explainer","activo",skills-agente,"qora-explainer/skills/Qora-info.agent-skill.md","",""
backend/clients/qora-demo/agents/qora-explainer/skills/README.md,multi-tenant,doc,"Readme de skills del agente explainer","documentacion",skills-agente,"qora-explainer/skills/README.md","",""
backend/clients/qora-demo/agents/qora-explainer/skills/registry.yaml,multi-tenant,yaml,"Registry de skills del agente qora-explainer","activo",skills-agente,"qora-explainer/skills/registry.yaml","",""
backend/clients/qora-demo/agents/qora-explainer/system-prompt.md,multi-tenant,prompt,"System prompt del agente demo qora-explainer","activo",prompts,"qora-explainer/system-prompt.md","",""
backend/clients/quintana-seguros/agents/jaumpablo/skills/README.md,multi-tenant,doc,"Readme de skills de jaumpablo","documentacion",skills-agente,"jaumpablo/skills/README.md","",""
backend/clients/quintana-seguros/agents/jaumpablo/skills/registry.yaml,multi-tenant,yaml,"Registry de skills del agente jaumpablo","activo",skills-agente,"jaumpablo/skills/registry.yaml","",""
backend/clients/quintana-seguros/agents/jaumpablo/system-prompt.md,multi-tenant,prompt,"System prompt canonico de jaumpablo (fuente sobre seed embebido)","activo",prompts,"jaumpablo/system-prompt.md","",""
backend/clients/quintana-seguros/agents/leads-agent/skills/auto-insurance-knowledge.agent-skill.md,multi-tenant,prompt,"Skill: conocimiento de seguros de auto","activo",skills-agente,"leads-agent/skills/auto-insurance-knowledge.agent-skill.md","",""
backend/clients/quintana-seguros/agents/leads-agent/skills/lead-qualification.agent-skill.md,multi-tenant,prompt,"Skill: calificacion de leads","activo",skills-agente,"leads-agent/skills/lead-qualification.agent-skill.md","",""
backend/clients/quintana-seguros/agents/leads-agent/skills/registry.yaml,multi-tenant,yaml,"Registry de skills del agente leads-agent","activo",skills-agente,"leads-agent/skills/registry.yaml","",""
backend/clients/quintana-seguros/agents/leads-agent/system-prompt.md,multi-tenant,prompt,"System prompt del agente leads-agent","activo",prompts,"leads-agent/system-prompt.md","",""
backend/clients/quintana-seguros/crm.yaml,integraciones,yaml,"Config CRM Airtable de Quintana (unico tenant con crm.yaml)","activo",crm-airtable,"crm.yaml api_key_env QUINTANA_AIRTABLE_API_KEY","Cobertura CRM = 1 tenant",""
backend/scripts/check-secrets.py,config,script,"Validacion pre-flight de secretos (tabla + exit code)","activo",secrets,"scripts/check-secrets.py","",""
backend/scripts/migrate.py,modelo-de-datos,script,"Runner pre-arranque: alembic upgrade head + arbol de decision + backup gate","activo pero complejo",migraciones,"migrate.py:361-446, :330-358","Stamp-head puede saltar DDL 0002/0003 en DB legacy baseline","Verificar gate de compatibilidad antes de stamp"
backend/scripts/migrate_abandonment_to_outcome.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (was_abrupt/abandonment_trigger)","posible dead code",migraciones,"cabecera DEPRECATED superseded by Alembic","Superado por baseline; solo tests/docs",""
backend/scripts/migrate_add_agent_id_fks.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (agent_id FKs + backfill)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_add_agents.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (tabla agents + seed)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_analysis_language.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (analysis_language en clients)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_analysis_v2.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (call_analyses, lead_profile_facts + backfill)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_bi_columns.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (5 columnas BI + 2 indices)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_call_scheduler.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (scheduled_calls + cols scheduler)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_data_corrections.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (email/age en leads)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_drop_engagement_quality.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (DROP engagement_quality)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_extraction_v2.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (axes en call_analyses/clients)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
backend/scripts/migrate_lead_id_nullable.py,modelo-de-datos,migration,"Migracion ad-hoc legacy (call_sessions.lead_id nullable, rebuild)","posible dead code",migraciones,"cabecera DEPRECATED","Superado por baseline",""
